"Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc","Title_Original","BodyPart_Original","Equipment_Original","HasRating","RatingCategory","ComplexityScore","DescLength","ShortDesc"
"plank band row","The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.","Strength","Abdominals","Other","Intermediate",NA,"","Partner plank band row","Abdominals","Bands",FALSE,"Nie oceniono",3,223,"The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the op..."
"crunch isometric hold","The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.","Strength","Abdominals","Other","Intermediate",NA,"","Banded crunch isometric hold","Abdominals","Bands",FALSE,"Nie oceniono",3,211,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""s..."
"Banded Plank Jack","The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.","Strength","Abdominals","Other","Intermediate",NA,"","FYR Banded Plank Jack","Abdominals","Bands",FALSE,"Nie oceniono",3,314,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a ban..."
"crunch","The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.","Strength","Abdominals","Other","Intermediate",NA,"","Banded crunch","Abdominals","Bands",FALSE,"Nie oceniono",3,196,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscle..."
"Crunch","The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.","Strength","Abdominals","Other","Intermediate",NA,"","Crunch","Abdominals","Bands",FALSE,"Nie oceniono",3,349,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It..."
"Decline band press sit-up","The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Other","Intermediate",NA,"","Decline band press sit-up","Abdominals","Bands",FALSE,"Nie oceniono",3,379,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well..."
"low-to-high twist","The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.","Strength","Abdominals","Other","Intermediate",NA,"","Band low-to-high twist","Abdominals","Bands",FALSE,"Nie oceniono",3,311,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it w..."
"roll-out","The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Strength","Abdominals","Barbell","Intermediate",8.9,"Average","Barbell roll-out","Abdominals","Barbell",TRUE,"Bardzo dobre (8.0-8.9)",3,383,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed..."
"Ab Rollout - On Knees","The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Strength","Abdominals","Barbell","Intermediate",8.9,"Average","Barbell Ab Rollout - On Knees","Abdominals","Barbell",TRUE,"Bardzo dobre (8.0-8.9)",3,383,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed..."
"Decline bar press sit-up","The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Barbell","Intermediate",8.5,"Average","Decline bar press sit-up","Abdominals","Barbell",TRUE,"Bardzo dobre (8.0-8.9)",3,346,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It..."
"Bench barbell roll-out","The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.","Strength","Abdominals","Barbell","Beginner",8.3,"Average","Bench barbell roll-out","Abdominals","Barbell",TRUE,"Bardzo dobre (8.0-8.9)",2,288,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but ..."
"Seated bar twist","The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.","Strength","Abdominals","Barbell","Intermediate",4.7,"Average","Seated bar twist","Abdominals","Barbell",TRUE,"Słabe (<6.0)",3,341,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relat..."
"Single-arm landmine pull and press","The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.","Strength","Abdominals","Barbell","Intermediate",NA,"","Single-arm landmine pull and press","Abdominals","Barbell",FALSE,"Nie oceniono",3,301,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device..."
"Ab Roll Out - Gethin Variation","The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Strength","Abdominals","Barbell","Intermediate",NA,"","Barbell Ab Roll Out - Gethin Variation","Abdominals","Barbell",FALSE,"Nie oceniono",3,383,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed..."
"30 Barbell Floor Wiper","The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.","Strength","Abdominals","Barbell","Intermediate",NA,"","30 Barbell Floor Wiper","Abdominals","Barbell",FALSE,"Nie oceniono",3,314,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and..."
"30 Barbell Roll-Out","The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Strength","Abdominals","Barbell","Intermediate",NA,"","30 Barbell Roll-Out","Abdominals","Barbell",FALSE,"Nie oceniono",3,383,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed..."
"Decline plate sit-up","The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Barbell","Intermediate",NA,"","Decline plate sit-up","Abdominals","Barbell",FALSE,"Nie oceniono",3,302,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as t..."
"Windmill","The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Strength","Abdominals","Kettlebells","Intermediate",7.7,"Average","Kettlebell Windmill","Abdominals","Kettlebells",TRUE,"Dobre (7.0-7.9)",3,326,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility ..."
"3-point leg extension","The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Kettlebell 3-point leg extension","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,405,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, s..."
"Burpee over kettlebell","The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Burpee over kettlebell","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,301,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit..."
"toe-touch","The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Kettlebell toe-touch","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,251,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. ..."
"swing","The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Kettlebell swing","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,261,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often ..."
"Two-way swing","The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Two-way swing","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,691,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian..."
"crab reach","The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.","Strength","Abdominals","Kettlebells","Intermediate",NA,"","Kettlebell crab reach","Abdominals","Kettlebells",FALSE,"Nie oceniono",3,291,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a..."
